			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Voar	Voar	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Voar}

Allows your army to fly over obstacles and rough terrain with 40% penalty to movement cost. Valid for 1 turn. You must land at the end of the turn.
"	"{Voar básico}

Allows your army to fly over obstacles and rough terrain with 40% penalty to movement cost. Valid for 1 turn. You must land at the end of the turn.
"	"{Voar avançado}

Allows your army to fly over obstacles and rough terrain with 20% penalty to movement cost. Valid for 1 turn. You must land at the end of the turn.
"	"{Voar expert}

Allows your army to fly over obstacles and rough terrain without any penalty. Valid for 1 turn. You must land at the end of the turn.
"	 ADV_SPELL
Andar sobre a água	Andar sobre a água	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Andar sobre a água}

Allows your army to walk across bodies of water with 40% penalty to movement cost. Valid for 1 turn. You must end your movement on dry land.
"	"{Andar sobre a água básico}

Allows your army to walk across bodies of water with 40% penalty to movement cost. Valid for 1 turn. You must end your movement on dry land.
"	"{Andar sobre a água avançado}

Allows your army to walk across bodies of water with 20% penalty to movement cost. Valid for 1 turn. You must end your movement on dry land.
"	"{Andar sobre a água expert}

Allows your army to walk across bodies of water without any penalty. Valid for 1 turn. You must end your movement on dry land.
"	 ADV_SPELL
Portal dimensional	Portal dimensional	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Portal dimensional}

Once per day (for each hero), you may teleport your hero to an unoccupied location on the adventure map in hero visibility zone. This spends 300 movement points.
"	"{Portal dimensional básico}

Twice per day (for each hero), you may teleport your hero to an unoccupied location on the adventure map in hero visibility zone. This spends 300 movement points.
"	"{Portal dimensional avançado}

Three times per day (for each hero), you may teleport your hero to an unoccupied location on the adventure map in hero visibility zone. This spends 300 movement points.
"	"{Portal dimensional expert}

Four times per day (for each hero), you may teleport your hero to an unoccupied location on the adventure map in hero visibility zone. This spends 200 movement points.
"	 ADV_SPELL
Portão para a cidade	Portão para a cidade	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Portão para a cidade}

Teleports your hero to the nearest friendly town. Requires 300 movement points. The town must be unoccupied.
"	"{Portão para a cidade básico}

Teleports your hero to the nearest friendly town. Requires 300 movement points. The town must be unoccupied.
"	"{Portão para a cidade avançado}

Teleports your hero to any chosen friendly town. Requires 300 movement points. The town must be unoccupied.
"	"{Portão para a cidade expert}

Teleports your hero to any chosen friendly town. Requires 200 movement points. The town must be unoccupied.
"	 ADV_SPELL
																																	
Combat Spells																																	
																																	
Areia movediça	Areia movediça	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Areia movediça}

Randomly places four small patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain.  Walking into quicksand ends a non-flying unit's movement for the turn and makes quicksand visible to all. Areia movediça duration is unlimited.
"	"{Areia movediça básico}

Randomly places four small patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain.  Walking into quicksand ends a non-flying unit's movement for the turn and makes quicksand visible to all. Areia movediça duration is unlimited.
"	"{Areia movediça avançado}

Randomly places six small patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain.  Walking into quicksand ends a non-flying unit's movement for the turn and makes quicksand visible to all. Areia movediça duration is unlimited.
"	"{Areia movediça expert}

Randomly places eight small patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain.  Walking into quicksand ends a non-flying unit's movement for the turn and makes quicksand visible to all. Areia movediça duration is unlimited.
"	 COMBAT_SPELL|LOCATION_TARGET
Minas terrestres	Minas terrestres	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Minas terrestres}

Randomly places four small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain.  It inflicts (Spell Power x 10 + 25) damage to any unit walking over it, which doesn’t see it, and disappears. Otherwise landmine duration is unlimited.
"	"{Minas terrestres básico}

Randomly places four small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain.  It inflicts (Spell Power x 10 + 25) damage to any unit walking over it, which doesn’t see it, and disappears. Otherwise landmine duration is unlimited.
"	"{Minas terrestres avançado}

Randomly places six small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain.  It inflicts (Spell Power x 10 + 50) damage to any unit walking over it, which doesn’t see it, and disappears. Otherwise landmine duration is unlimited.
"	"{Minas terrestres expert}

Randomly places eight small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain.  It inflicts (Spell Power x 10 + 100) damage to any unit walking over it, which doesn’t see it, and disappears. Otherwise landmine duration is unlimited.
"	 COMBAT_SPELL|LOCATION_TARGET
Campo de força	Campo de força	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Campo de força}

Places a 2-hex Campo de força on the battlefield at a point specified by the caster for 2 rounds. Movement through these hexes is blocked.
"	"{Campo de força básico}

Places a 2-hex Campo de força on the battlefield at a point specified by the caster for 2 rounds. Movement through these hexes is blocked.
"	"{Campo de força avançado}

Places a 3-hex Campo de força on the battlefield at a point specified by the caster for 2 rounds. Movement through these hexes is blocked.
"	"{Campo de força expert}

Places a 3-hex Campo de força on the battlefield at a point specified by the caster for 2 rounds. Movement through these hexes is blocked.
"	 COMBAT_SPELL|LOCATION_TARGET
Parede de fogo	Parede de fogo	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Parede de fogo}

Places a 2-hex wildfire on the battlefield at a point specified by the caster for 2 rounds. Any units passing through the wall take (Spell Power x 10 + 10) damage.
"	"{Parede de fogo básico}

Places a 2-hex wildfire on the battlefield at a point specified by the caster for 2 rounds.  Any units passing through the wall take (Spell Power x 10 + 10) damage.
"	"{Parede de fogo avançado}

Places a 3-hex wildfire on the battlefield at a point specified by the caster for 2 rounds.  Any units passing through the wall take (Spell Power x 10 + 20) damage.
"	"{Parede de fogo expert}

Places a 3-hex wildfire on the battlefield at a point specified by the caster for 2 rounds.  Any units passing through the wall take (Spell Power x 10 + 50) damage.
"	 COMBAT_SPELL|LOCATION_TARGET
Terremoto	Terremoto	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Terremoto}

Randomly damages two sections of castle wall, gate or tower in combat.
"	"{Terremoto básico}

Randomly damages two sections of castle wall, gate or tower in combat.
"	"{Terremoto avançado}

Randomly damages three sections of castle wall, gate or tower in combat.
"	"{Terremoto expert}

Randomly damages four sections of castle wall, gate or tower in combat.
"	 COMBAT_SPELL
Flecha mágica	Flecha mágica	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Flecha mágica}

Causes a bolt of magical energy to strike the selected enemy unit. Inflicts (Spell Power x 10 + 10) damage.
"	"{Flecha mágica básico}

Causes a bolt of magical energy to strike the selected enemy unit. Inflicts (Spell Power x 10 + 10) damage.
"	"{Flecha mágica avançado}

Causes a bolt of magical energy to strike the selected enemy unit. Inflicts (Spell Power x 10 + 20) damage.
"	"{Flecha mágica expert}

Causes a bolt of magical energy to strike the selected enemy unit. Inflicts (Spell Power x 10 + 30) damage.
"	 COMBAT_SPELL|CREATURE_TARGET
Flecha de gelo	Flecha de gelo	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{Flecha de gelo}

Ice drains the body heat from the selected enemy unit. Inflicts (Spell Power x 20 + 10) damage.
"	"{Flecha de gelo básico}

Ice drains the body heat from the selected enemy unit. Inflicts (Spell Power x 20 + 10) damage.
"	"{Flecha de gelo avançado}

Ice drains the body heat from the selected enemy unit. Inflicts (Spell Power x 20 + 20) damage.
"	"{Flecha de gelo expert}

Ice drains the body heat from the selected enemy unit. Inflicts (Spell Power x 20 + 50) damage.
"	 COMBAT_SPELL|CREATURE_TARGET
Relâmpago	Relâmpago	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{Relâmpago}

Causes a bolt of lightning to strike the selected enemy unit. It takes (Spell Power x 25 + 10) damage.
"	"{Relâmpago básico}

Causes a bolt of lightning to strike the selected enemy unit. It takes (Spell Power x 25 + 10) damage.
"	"{Relâmpago avançado}

Causes a bolt of lightning to strike the selected enemy unit. It takes (Spell Power x 25 + 20) damage.
"	"{Relâmpago expert}

Causes a bolt of lightning to strike the selected enemy unit. It takes (Spell Power x 25 + 50) damage.
"	 COMBAT_SPELL|CREATURE_TARGET
Implosão	Implosão	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Implosão}

Inflicts (Spell Power x 75 + 100) damage to a single enemy creature stack. Does not affect War Machines.
"	"{Implosão básico}

Inflicts (Spell Power x 75 + 100) damage to a single enemy creature stack. Does not affect War Machines.
"	"{Implosão avançado}

Inflicts (Spell Power x 75 + 200) damage to a single enemy creature stack. Does not affect War Machines.
"	"{Implosão expert}

Inflicts (Spell Power x 75 + 300) damage to a single enemy creature stack. Does not affect War Machines.
"	 COMBAT_SPELL|CREATURE_TARGET
Raio em cadeia	Raio em cadeia	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{Raio em cadeia}

Fires a bolt of lightning at the selected enemy unit for (Spell Power x 40 + 25) damage which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half of previous target damage, etc.  Strikes four units.
"	"{Raio em cadeia básico}

Fires a bolt of lightning at the selected enemy unit for (Spell Power x 40 + 25) damage which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half of previous target damage, etc.  Strikes four units.
"	"{Raio em cadeia avançado}

Fires a bolt of lightning at the selected enemy unit for (Spell Power x 40 + 50) damage which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half of previous target damage, etc.  Strikes five units.
"	"{Raio em cadeia expert}

Fires a bolt of lightning at the selected enemy unit for (Spell Power x 40 + 100) damage which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half of previous target damage, etc.  Strikes five units.
"	 COMBAT_SPELL|CREATURE_TARGET
Anel de gelo	Anel de gelo	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Anel de gelo}

Ice drains the body heat of any units adjacent to the target location. Each unit takes (Spell Power x 10 + 15) damage. Target hex is unaffected.
"	"{Anel de gelo básico}

Ice drains the body heat of any units adjacent to the target location. Each unit takes (Spell Power x 10 + 15) damage. Target hex is unaffected.
"	"{Anel de gelo avançado}

Ice drains the body heat of any units adjacent to the target location. Each unit takes (Spell Power x 10 + 30) damage. Target hex is unaffected.
"	"{Anel de gelo expert}

Ice drains the body heat of any units adjacent to the target location. Each unit takes (Spell Power x 10 + 60) damage. Target hex is unaffected.
"	 COMBAT_SPELL|LOCATION_TARGET
Bola de fogo	Bola de fogo	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Bola de fogo}

Causes the selected target to burst into flames, inflicting (Spell Power x 10 + 15) fire damage to the target and any units adjacent to target location.
"	"{Bola de fogo básico}

Causes the selected target to burst into flames, inflicting (Spell Power x 10 + 15) fire damage to the target and any units adjacent to target location.
"	"{Bola de fogo avançado}

Causes the selected target to burst into flames, inflicting (Spell Power x 10 + 30) fire damage to the target and any units adjacent to target location.
"	"{Bola de fogo expert}

Causes the selected target to burst into flames, inflicting (Spell Power x 10 + 60) fire damage to the target and any units adjacent to target location.
"	 COMBAT_SPELL|LOCATION_TARGET
Inferno	Inferno	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Inferno}

Causes a huge blast of fire to strike the selected target and any units 1 and 2 hexes away from target location. Each unit takes (Spell Power x 10 + 20) damage.  Don't be near this when it goes off!
"	"{Inferno básico}

Causes a huge blast of fire to strike the selected target and any units 1 and 2 hexes away from target location. Each unit takes (Spell Power x 10 + 20) damage.  Don't be near this when it goes off!
"	"{Inferno avançado}

Causes a huge blast of fire to strike the selected target and any units 1 and 2 hexes away from target location. Each unit takes (Spell Power x 10 + 40) damage.  Don't be near this when it goes off!
"	"{Inferno expert}

Causes a huge blast of fire to strike the selected target and any units 1 and 2 hexes away from target location. Each unit takes (Spell Power x 10 + 80) damage.  Don't be near this when it goes off!
"	 COMBAT_SPELL|LOCATION_TARGET
Chuva de meteoros	Chuva de meteoros	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Chuva de meteoros}

Causes a meteor shower to rain down on the selected target and any units adjacent to target location. Each unit takes (Spell Power x 25 + 25) damage.
"	"{Chuva de meteoros básico}

Causes a meteor shower to rain down on the selected target and any units adjacent to target location. Each unit takes (Spell Power x 25 + 25) damage.
"	"{Chuva de meteoros avançado}

Causes a meteor shower to rain down on the selected target and any units adjacent to target location. Each unit takes (Spell Power x 25 + 50) damage.
"	"{Chuva de meteoros expert}

Causes a meteor shower to rain down on the selected target and any units adjacent to target location. Each unit takes (Spell Power x 25 + 100) damage.
"	 COMBAT_SPELL|LOCATION_TARGET
Onda da morte	Onda da morte	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Onda da morte}

Sends a wave of death across the battlefield which damages all units except undead and War Mañhines for (Spell Power x 5 + 10) hit points.
"	"{Onda da morte básico}

Sends a wave of death across the battlefield which damages all units except undead and War Mañhines for (Spell Power x 5 + 10) hit points.
"	"{Onda da morte avançado}

Sends a wave of death across the battlefield which damages all units except undead and War Mañhines for (Spell Power x 5 + 20) hit points.
"	"{Onda da morte expert}

Sends a wave of death across the battlefield which damages all units except undead and War Mañhines for (Spell Power x 5 + 30) hit points.
"	 COMBAT_SPELL
Destruir mortos-vivos	Destruir mortos-vivos	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Destruir mortos-vivos}

Attempts to destroy any undead creatures on the battlefield. Each undead unit takes (Spell Power x 10 + 10) damage.
"	"{Destruir mortos-vivos básico}

Attempts to destroy any undead creatures on the battlefield. Each undead unit takes (Spell Power x 10 + 10) damage.
"	"{Destruir mortos-vivos avançado}

Attempts to destroy any undead creatures on the battlefield. Each undead unit takes (Spell Power x 10 + 20) damage.
"	"{Destruir mortos-vivos expert}

Attempts to destroy any undead creatures on the battlefield. Each undead unit takes (Spell Power x 10 + 50) damage.
"	 COMBAT_SPELL
Armagedom	Armagedom	4	 	 	x	 	24	20	20	20	40	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Armagedom}

Rains fire down upon the battlefield, damaging all units for (Spell Power x 40 + 30) hit points.
"	"{Armagedom básico}

Rains fire down upon the battlefield, damaging all units for (Spell Power x 40 + 30) hit points.
"	"{Armagedom avançado}

Rains fire down upon the battlefield, damaging all units for (Spell Power x 40 + 60) hit points.
"	"{Armagedom expert}

Rains fire down upon the battlefield, damaging all units for (Spell Power x 40 + 120) hit points.
"	 COMBAT_SPELL
Escudo	Escudo	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Escudo}

Shields a selected friendly unit, reducing the amount of damage received from hand-to-hand attacks by 15%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Escudo básico}

Shields a selected friendly unit, reducing the amount of damage received from hand-to-hand attacks by 15%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Escudo avançado}

Shields a selected friendly unit, reducing the amount of damage received from hand-to-hand attacks by 30%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Escudo expert}

Shields all friendly units, reducing the amount of damage received from hand-to-hand attacks by 30%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Escudo de ar	Escudo de ar	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Escudo de ar}

Shields a selected friendly unit, reducing the amount of damage received from ranged attacks by 25%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Escudo de ar básico}

Shields a selected friendly unit, reducing the amount of damage received from ranged attacks by 25%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Escudo de ar avançado}

Shields a selected friendly unit, reducing the amount of damage received from ranged attacks by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Escudo de ar expert}

Shields all friendly units, reducing the amount of damage received from ranged attacks by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Escudo de fogo	Escudo de fogo	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Escudo de fogo}

Cast on a friendly unit, it does not provide any additional protection, but any enemy making hand-by-hand attack through the fire shield will suffer damage equal to 20% of what it inflicts. Spell is active for number of rounds equal to hero Spell Power.
"	"{Escudo de fogo básico}

Cast on a friendly unit, it does not provide any additional protection, but any enemy making hand-by-hand attack through the fire shield will suffer damage equal to 20% of what it inflicts. Spell is active for number of rounds equal to hero Spell Power.
"	"{Escudo de fogo avançado}

Cast on a friendly unit, it does not provide any additional protection, but any enemy making hand-by-hand attack through the fire shield will suffer damage equal to 25% of what it inflicts. Spell is active for number of rounds equal to hero Spell Power.
"	"{Escudo de fogo expert}

Cast on a friendly unit, it does not provide any additional protection, but any enemy making hand-by-hand attack through the fire shield will suffer damage equal to 30% of what it inflicts. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET
Proteção do ar	Proteção do ar	2		 	 	x	7	5	5	5	0	50	50	25	25	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Proteção do ar}

Protects the selected friendly unit, reducing damage received from Air spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção do ar básico}

Protects the selected friendly unit, reducing damage received from Air spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção do ar avançado}

Protects the selected friendly unit, reducing damage received from Air spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção do ar expert}

Protects all friendly units, reducing damage received from Air spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Proteção do fogo	Proteção do fogo	1	 		x	 	5	4	4	4	0	50	50	25	25	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Proteção do fogo}

Protects the selected friendly unit, reducing damage received from Fire spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção do fogo básico}

Protects the selected friendly unit, reducing damage received from Fire spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção do fogo avançado}

Protects the selected friendly unit, reducing damage received from Fire spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção do fogo expert}

Protects all friendly units, reducing damage received from Fire spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Proteção da água	Proteção da água	1	 	x		 	5	4	4	4	0	50	50	25	25	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Proteção da água}

Protects the selected friendly unit, reducing damage received from Water spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção da água básico}

Protects the selected friendly unit, reducing damage received from Water spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção da água avançado}

Protects the selected friendly unit, reducing damage received from Water spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção da água expert}

Protects all friendly units, reducing damage received from Water spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Proteção da terra	Proteção da terra	3	x	 	 		12	9	9	9	0	50	50	25	25	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Proteção da terra}

Protects the selected friendly unit, reducing damage received from Earth spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção da terra básico}

Protects the selected friendly unit, reducing damage received from Earth spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção da terra avançado}

Protects the selected friendly unit, reducing damage received from Earth spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Proteção da terra expert}

Protects all friendly units, reducing damage received from Earth spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Anti-mágica	Anti-mágica	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Anti-mágica}

Protects the selected friendly unit from all 1-3 level spells except Desenfeitiçar. Removes negative spells level 1-3 except Raio perturbador. Does not affect duplicates created with Clone spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Anti-mágica básico}

Protects the selected friendly unit from all 1-3 level spells except Desenfeitiçar. Removes negative spells level 1-3 except Raio perturbador. Does not affect duplicates created with Clone spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Anti-mágica avançado}

Protects the selected friendly unit from all 1-4 level spells except Desenfeitiçar. Removes negative spells level 1-4 except Raio perturbador. Does not affect duplicates created with Clone spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Anti-mágica expert}

Protects the selected friendly unit from all spells except Desenfeitiçar. Removes all negative spells except Raio perturbador. Does not affect duplicates created with Clone spell. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET
Desenfeitiçar	Desenfeitiçar	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Desenfeitiçar}

Removes all spells and effects except Raio perturbador and poison from a friendly unit. Ignores target creature natural immunities to magic.
"	"{Desenfeitiçar básico}

Removes all spells and effects except Raio perturbador and poison from a friendly unit. Ignores target creature natural immunities to magic.
"	"{Desenfeitiçar avançado}

Removes all spells and effects except Raio perturbador and poison from a friendly or hostile unit. Ignores target creature chances to resist a spell and natural immunities.
"	"{Desenfeitiçar expert}

Removes all spells and effects except Raio perturbador and poison from all units on the battlefield and destroys all magic obstacles. Ignores target creature chances to resist a spell and natural immunities.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Espelho mágico	Espelho mágico	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Espelho mágico}

Reflects hostile spells from selected friendly unit towards a random enemy creature 20% of the time. Protects from Hypnotize spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Espelho mágico básico}

Reflects hostile spells from selected friendly unit towards a random enemy creature 20% of the time. Protects from Hypnotize spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Espelho mágico avançado}

Reflects hostile spells from selected friendly unit towards a random enemy creature 30% of the time. Protects from Hypnotize spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Espelho mágico expert}

Reflects hostile spells from selected friendly unit towards a random enemy creature 40% of the time. Protects from Hypnotize spell. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET
